año,mes,1 estrella,2 estrellas,3 estrellas,4 estrellas,5 estrellas,hoteles,extrahoteleros,total
2016,9,19348,51055,416647,1420164,323790,2231004,1181728,3412732
2016,10,19570,58645,431672,1470140,361495,2341522,1279016,3620538
2016,11,20495,56888,417594,1363023,328382,2186382,1204624,3391006
2016,12,21147,56906,416024,1336007,313151,2143235,1227847,3371082
2016,13,240555,649672,5222243,17223339,3951016,27286825,14918459,42205284
2017,1,22375,60311,419762,1428497,360366,2291311,1277126,3568437
2017,2,20576,66295,369869,1325086,350645,2132471,1185002,3317473
2017,3,21856,68674,398321,1397020,371487,2257358,1239849,3497207
2017,4,18709,52173,381076,1401701,358715,2212374,1231120,3443494
2017,5,17094,36969,359015,1347516,313074,2073668,1113133,3186801
2017,6,16956,41145,381515,1430619,308658,2178893,1197164,3376057
2017,7,19504,48381,417004,1604048,357042,2445979,1426878,3872857
2017,8,18170,56296,445776,1654232,406203,2580677,1512565,4093242
2017,9,19362,50167,382703,1439227,330398,2221857,1239383,3461240
2017,10,19905,57031,392901,1454945,376950,2301732,1240233,3541965
2017,11,20331,58743,383214,1360586,355277,2178151,1218754,3396905
2017,12,20155,52924,351844,1296514,324950,2046387,1230620,3277007
2017,13,234993,649109,4683000,17139991,4213765,26920858,15111827,42032685
2018,1,20592,57402,387417,1412231,337893,2215535,1311022,3526557
2018,2,20335,57322,355381,1280096,333868,2047002,1214798,3261800
2018,3,20813,59802,389153,1373970,362324,2206062,1324022,3530084
2018,4,17512,49751,355574,1297774,357995,2078606,1148545,3227151
2018,5,17465,40601,350090,1310394,311436,2029986,1083602,3113588
2018,6,17520,46991,366508,1375913,297840,2104772,1184682,3289454
2018,7,19533,54685,400348,1513531,398599,2386696,1495685,3882381
2018,8,19098,60629,420653,1595726,431282,2527388,1626556,4153944
2018,9,18524,55191,356261,1391482,363071,2184529,1256843,3441372
2018,10,20941,55889,361744,1447731,433219,2319524,1363940,3683464
2018,11,21702,57318,356355,1333108,362905,2131388,1302756,3434144
